Local Date: Jan 06 2023 Local Time: 16:43:51
Build info: Sep 15 2022 15:14:37 r

WARN    16:43:51:428  15464; ping host 192.168.10.1
INFO    16:43:51:659  11432; Intra Request Received from 1445391047, time = 366320477

WARN    16:43:51:758  11432; Fail to parse: AgoraRTC::SpsH264::InterpretSps gaps_in_frame_num_value_allowed_flag is 1

WARN    16:43:51:758  11432; Idr miss, internal frn wrap around, reset. prevfrn (131), cfrn (0), maxfrn (32768)
INFO    16:43:51:970  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:43:52:212  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:43:52:286  19224; captured signal too small
WARN    16:43:52:286  19224; audio device captured signal too small
WARN    16:43:52:296  19224; Setting a too large audio device delay = (184467491)ms
WARN    16:43:52:359  11432; [VPM:Brightness] bright (221).
WARN    16:43:52:430  15464; ping host 103.18.47.77
WARN    16:43:52:431  15464; ping host 192.168.10.1
ERROR   16:43:52:961  11432; agora::media::VideoEngine::checkCapturePicture_l: all frames are the same, size 640x360, fps 10, bitrate 3, camera maybe issue
INFO    16:43:52:961  11432; agora::media::VideoEngine::SetStreamState: 2 -> 1
INFO    16:43:52:961  11432; agora::media::VideoEngine::SetStreamState: localVideoState 1, error 4
INFO    16:43:52:962  11432; [rp] video availability level: 1 module: 8 code: 1 peerUid: 0 extra: 57
INFO    16:43:52:991  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:43:53:212  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:43:53:267  11432; [rs] total: 15604 / 15782 valid: 15604 / 15606
INFO    16:43:53:267  11432; Peer count: 1
INFO    16:43:53:267  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:43:53:267  11432; agora::media::VideoEngine::SetStreamState: 1 -> 2
INFO    16:43:53:267  11432; agora::media::VideoEngine::SetStreamState: localVideoState 2, error 0
WARN    16:43:53:296  19224; Setting a too large audio device delay = (184467492)ms
WARN    16:43:53:432  15464; ping host 103.18.47.77
WARN    16:43:53:435  15464; ping host 192.168.10.1
WARN    16:43:53:967  11432; [VPM:Brightness] bright (221).
INFO    16:43:54:015  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:43:54:212  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:43:54:268  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149129,width 640,height 360,ystride:0,type:2
WARN    16:43:54:286  19224; captured signal too small
WARN    16:43:54:286  19224; audio device captured signal too small
WARN    16:43:54:297  19224; Setting a too large audio device delay = (184467492)ms
WARN    16:43:54:436  15464; ping host 103.18.47.77
WARN    16:43:54:436  15464; ping host 192.168.10.1
WARN    16:43:54:526  19224; captured signal all 0s
WARN    16:43:54:526  19224; audio device captured signal all 0s
INFO    16:43:55:057  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:43:55:213  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:43:55:268  11432; Peer count: 1
INFO    16:43:55:268  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:43:55:268  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:43:55:297  19224; Setting a too large audio device delay = (184467492)ms
WARN    16:43:55:442  15464; ping host 103.18.47.77
WARN    16:43:55:442  15464; ping host 192.168.10.1
INFO    16:43:55:476  11432; AgoraRTC::AVEncoder::VideoEncoderExec: UseSingleSliceParser = 1
WARN    16:43:55:575  11432; [VPM:Brightness] bright (221).
INFO    16:43:55:845  11432; [timeSync] getStableNTP, rtt_w: 34, diffTime: 1672631911016, bootTime: 366324664, currentTs: 1672998235680
INFO    16:43:56:073  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:43:56:214  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:43:56:286  19224; captured signal too small
WARN    16:43:56:286  19224; audio device captured signal too small
WARN    16:43:56:296  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:43:56:305  19224; AVSync audio_record_delay: 11

INFO    16:43:56:408  11432; gatewayRtt 3(650), linkspeed 86700(20), rssi -53(-70), rxlossrate 4(30), localRxJitter95 24(500), reason 0x0
WARN    16:43:56:446  15464; ping host 103.18.47.77
WARN    16:43:56:446  15464; ping host 192.168.10.1
INFO    16:43:56:579  11432; before enc coefUniformity=0
INFO    16:43:57:080  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:43:57:182  11432; [VPM:Brightness] bright (221).
INFO    16:43:57:214  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:43:57:268  11432; Peer count: 1
